iter	Passed	Remaining
256	1566	4527
257	1570	4516
258	1576	4511
259	1581	4499
260	1586	4490
261	1591	4481
262	1600	4485
263	1604	4473
264	1609	4463
265	1612	4450
266	1616	4437
267	1620	4425
268	1624	4414
269	1627	4401
270	1631	4389
271	1636	4379
272	1640	4368
273	1644	4356
274	1650	4351
275	1656	4345
276	1660	4334
277	1663	4321
278	1669	4314
279	1672	4301
280	1676	4289
281	1680	4278
282	1686	4273
283	1691	4263
284	1695	4252
285	1703	4253
286	1707	4242
287	1719	4251
288	1726	4247
289	1737	4254
290	1743	4247
291	1750	4244
292	1754	4232
293	1758	4222
294	1766	4220
295	1769	4208
296	1773	4198
297	1778	4189
298	1782	4178
299	1785	4167
300	1792	4162
301	1796	4151
302	1800	4141
303	1803	4129
304	1810	4124
305	1813	4112
306	1816	4100
307	1822	4094
308	1825	4082
309	1829	4071
310	1832	4060
311	1840	4058
312	1843	4047
313	1847	4036
314	1852	4028
315	1856	4019
316	1860	4008
317	1864	3998
318	1869	3991
319	1872	3979
320	1876	3968
321	1879	3958
322	1886	3953
323	1889	3943
324	1894	3934
325	1901	3930
326	1905	3922
327	1909	3912
328	1915	3907
329	1919	3898
330	1923	3888
331	1932	3889
332	1937	3879
333	1945	3879
334	1948	3868
335	1952	3857
336	1957	3850
337	1961	3841
338	1964	3831
339	1968	3822
340	1973	3813
341	1976	3802
342	1979	3791
343	1982	3781
344	1986	3771
345	1990	3761
346	1993	3751
347	1996	3741
348	1999	3730
349	2004	3721
350	2007	3711
351	2010	3701
352	2014	3692
353	2019	3685
354	2022	3675
355	2026	3665
356	2029	3655
357	2034	3648
358	2037	3638
359	2041	3629
360	2045	3620
361	2049	3612
362	2054	3605
363	2058	3596
364	2062	3587
365	2067	3580
366	2070	3570
367	2073	3561
368	2076	3551
369	2080	3541
370	2083	3532
371	2087	3524
372	2090	3514
373	2094	3505
374	2098	3496
375	2101	3487
376	2107	3481
377	2109	3471
378	2112	3461
379	2116	3452
380	2119	3443
381	2124	3436
382	2128	3428
383	2131	3419
384	2135	3410
385	2140	3405
386	2153	3411
387	2157	3403
388	2166	3402
389	2170	3394
390	2185	3404
391	2190	3397
392	2198	3395
393	2201	3386
394	2221	3402
395	2225	3393
396	2228	3385
397	2232	3377
398	2235	3367
399	2239	3359
400	2243	3350
401	2246	3341
402	2249	3332
403	2254	3325
404	2258	3317
405	2261	3308
406	2266	3301
407	2269	3293
408	2272	3284
409	2275	3274
410	2279	3266
411	2282	3257
412	2286	3249
413	2289	3240
414	2292	3231
